username,name,url_main,url_user,exists,http_status,response_time_s
REDACTED_PHONE,BoardGameGeek,https://boardgamegeek.com/,https://boardgamegeek.com/user/REDACTED_PHONE,Claimed,200,1.3438915900005668
REDACTED_PHONE,Chess,https://www.chess.com/,https://www.chess.com/member/REDACTED_PHONE,Claimed,200,2.006704636001814
REDACTED_PHONE,Cults3D,https://cults3d.com/en,https://cults3d.com/en/users/REDACTED_PHONE/creations,Claimed,403,2.676806340998155
REDACTED_PHONE,GaiaOnline,https://www.gaiaonline.com/,https://www.gaiaonline.com/profiles/REDACTED_PHONE,Claimed,200,4.621361982000963
REDACTED_PHONE,Gravatar,http://en.gravatar.com/,http://en.gravatar.com/REDACTED_PHONE,Claimed,200,5.834262977998151
REDACTED_PHONE,OurDJTalk,https://ourdjtalk.com/,https://ourdjtalk.com/members?username=REDACTED_PHONE,Claimed,415,8.186744204998831
REDACTED_PHONE,Polymart,https://polymart.org/,https://polymart.org/user/REDACTED_PHONE,Claimed,200,9.052637790999142
REDACTED_PHONE,Trovo,https://trovo.live,https://trovo.live/s/REDACTED_PHONE/,Claimed,200,11.298126162000699
REDACTED_PHONE,Wikipedia,https://www.wikipedia.org/,https://en.wikipedia.org/wiki/Special:CentralAuth/REDACTED_PHONE?uselang=qqx,Claimed,403,11.974559720001707
REDACTED_PHONE,YouTube,https://www.youtube.com/,https://www.youtube.com/@REDACTED_PHONE,Claimed,200,12.397309934000077
REDACTED_PHONE,minds,https://www.minds.com,https://www.minds.com/REDACTED_PHONE/,Claimed,502,15.210154346998024
